Age,Sex,Weight_carried,Place_finish,Distance_from_winner,Race_speed,Starts_this_prep,Days_in_this_racing_prep,Track,Race_distance,Number_starters,Temp,Outcome
3,F,55.5,4,1.75,16.94,1,0,2,1208,12,28.6,0
4,F,54,12,7.5,16.08,1,0,1,1000,12,16.7,0
3,F,54.5,6,3.75,16.17,1,0,0,1200,9,27.9,0
3,G,57,6,3.75,15.98,1,0,1,1200,10,23.5,1
3,G,56.5,2,2.75,15.59,1,0,0,1100,10,33.9,2
3,G,57,3,3.75,16.4,1,0,2,1216,12,16.6,2
3,G,57.5,1,0,15.56,4,31,2,1690,14,26.4,0
2,F,55,1,0,16.24,1,0,0,1000,12,26.1,1
3,F,55.5,6,2,16.59,2,10,0,1100,10,24.6,2
4,G,56,8,8.5,15.99,8,160,1,1650,12,14.5,1
3,F,55,1,0,15.82,1,0,2,1016,12,16.3,0
2,G,56,6,2.75,15.96,1,0,1,1300,10,16.1,1
2,G,58,2,0.2,16.35,2,14,0,1100,9,26.9,0
3,G,56.5,6,4.25,16.4,5,85,2,1410,11,27.8,0
3,G,56,2,1.25,15.98,2,20,0,1200,6,26,0
3,F,55,4,3.75,15.99,2,18,2,1400,8,28.4,0
2,F,55,2,0.15,16,1,0,0,1000,10,35,0
3,G,57.5,3,0.5,16.12,3,27,0,1400,12,26,2
3,F,57,5,7.5,15.84,2,11,1,1000,12,23.6,0
2,F,55,2,1,15.63,1,0,0,1000,10,32.7,1
3,G,58,1,0,16.42,2,10,1,1000,7,26.8,2
2,G,56,5,4.5,15.82,1,0,0,1000,9,36.3,0
3,F,53.5,3,0.25,15.59,1,0,1,1000,11,17.1,0
4,G,56,1,0,16.33,4,36,0,1600,10,25.3,2
3,G,57,3,0.25,15.75,7,178,1,1300,11,22.1,0
3,F,58,1,0,16.19,5,55,0,1600,8,28.1,1
3,F,55,2,0.3,15.62,1,0,2,1216,12,16.6,0
3,F,55.5,2,1.25,15.45,1,0,1,1200,8,18,1
2,F,55,1,0,15.62,1,0,0,1100,9,26.4,0
3,G,55.5,2,0.75,15.78,3,28,1,1000,14,17,1
3,G,54.5,3,5.5,15.6,2,13,1,1700,9,14.1,1
4,G,56,2,0.3,16.27,3,34,0,1400,12,19.5,0
4,F,56,5,1.75,15.89,1,0,1,1000,12,26.8,0
3,F,55.5,1,0,16.05,1,0,1,1000,9,19.7,1
2,F,55,6,1.5,15.77,1,0,0,1000,10,35,0
3,G,56.5,4,3,15.86,2,17,0,1400,8,33.4,0
3,F,55.5,4,2.25,16.64,1,0,1,1200,9,30,1
3,G,57.5,3,0.2,16.59,3,34,1,1200,14,14.1,0
3,F,54.5,7,6.25,16.04,1,0,0,1000,9,33.5,0
2,F,54,1,0,16.57,1,0,1,1000,12,15.4,0
3,F,53,1,0,16.18,1,0,1,1000,12,20.5,0
3,G,55,1,0,15.46,2,9,1,1400,6,17,0
3,G,57,2,1,16.63,1,0,2,1200,16,20.7,0
3,G,56.5,1,0,15.23,1,0,1,1200,8,17.2,0
3,G,55,2,0.1,15.75,4,59,0,1600,8,28.9,0
2,G,57,4,2.25,16.1,1,0,1,1200,10,17.7,1
3,G,56.5,7,5.25,16.4,1,0,1,1400,12,21.2,0
2,F,54,4,1.5,16.44,1,0,1,1000,12,15.4,0
2,G,59,1,0,16.63,1,0,1,1000,11,23.6,2
3,G,56.5,4,3.75,16.53,1,0,0,1400,11,27.6,0
3,F,55.5,1,0,16.72,2,13,1,1300,16,16.7,2
3,F,55.5,6,3.25,16.18,1,0,1,1000,9,19.7,0
3,G,55,9,5.75,16.18,2,10,0,1200,9,26.7,1
3,G,57.5,7,5,16.32,1,0,2,1410,13,30.5,0
2,G,57,1,0,15.47,1,0,0,1000,7,28.1,2
2,G,54,8,9.25,16.36,1,0,0,1100,10,25.1,1
3,G,54.5,1,0,16.74,2,14,0,1500,9,29.5,0
4,F,55,5,1.5,16.23,2,13,1,1400,14,25,0
3,F,54.5,2,0.2,15.78,3,34,0,1600,8,27.5,0
3,G,57,4,5.25,16.51,1,0,1,1400,14,13.2,1
2,F,55,1,0,15.85,1,0,0,1000,10,28.9,1
3,F,55,6,4.75,16.74,1,0,2,1016,12,16.3,1
3,F,56,1,0,15.6,2,35,1,1200,11,26.1,1
3,F,55,3,0.75,16.47,3,46,2,1216,14,15.7,0
3,G,58,2,2.5,16.39,1,0,1,1000,12,23.6,0
